symbol,first_month,last_month,kline_months,funding_months,status
PDDUSDT,2026-08,2026-08,1,1,active
PENDLEUSDT,2023-07,2026-08,38,38,active
PENGUSDT,2026-07,2026-08,2,2,active
PENGUUSDT,2024-12,2026-08,21,21,active
PEOPLEUSDT,2021-12,2026-08,57,57,active
PERPUSDT,2023-03,2026-08,42,33,active
PHAROSUSDT,2026-05,2026-08,4,4,active
PHAUSDT,2024-12,2026-08,21,21,active
PHBUSDT,2023-02,2026-08,43,40,active
PIEVERSEUSDT,2025-11,2026-08,10,10,active
PIPPINUSDT,2025-01,2026-08,20,20,active
PIXELUSDT,2024-02,2026-08,31,31,active
PLAYUSDT,2025-07,2026-08,14,14,active
PLTRUSDT,2026-02,2026-08,7,7,active
PLUMEUSDT,2025-03,2026-08,18,18,active
PNUTUSDT,2024-11,2026-08,22,22,active
POLUSDT,2024-09,2026-08,24,24,active
POLYXUSDT,2023-10,2026-08,35,35,active
PONKEUSDT,2024-11,2026-08,22,13,active
POPCATUSDT,2024-08,2026-08,25,25,active
POPMARTUSDT,2026-07,2026-08,2,2,active
PORT3USDT,2025-06,2026-08,15,6,active
PORTALUSDT,2024-02,2026-08,31,31,active
POWERUSDT,2025-12,2026-08,9,9,active
POWRUSDT,2023-10,2026-08,35,35,active
PRLUSDT,2026-04,2026-08,5,5,active
PROMPTUSDT,2025-04,2026-08,17,17,active
PROMUSDT,2025-01,2026-08,20,20,active
PROVEUSDT,2025-08,2026-08,13,13,active
PTBUSDT,2025-09,2026-08,12,12,active
PUFFERUSDT,2025-06,2026-08,15,11,active
PUMPBTCUSDT,2025-06,2026-08,15,15,active
PUMPUSDT,2025-04,2026-08,17,17,active
PUNDIXUSDT,2025-04,2026-08,17,17,active
PYPLUSDT,2026-07,2026-08,2,2,active
PYTHUSDT,2023-11,2026-08,34,34,active
QCOMUSDT,2026-05,2026-08,4,4,active
QNTUSDT,2022-10,2026-08,47,47,active
QNTXUSDT,2026-05,2026-08,4,4,active
QQQUSDT,2026-04,2026-08,5,5,active
QTUMUSDT,2020-02,2026-08,79,78,active
QUICKUSDT,2024-09,2026-08,24,15,active
QUSDT,2025-09,2026-08,12,12,active
RADUSDT,2023-05,2026-08,40,26,active
RAMUSDT,2026-08,2026-08,1,1,active
RAREUSDT,2024-08,2026-08,25,25,active
RAVEUSDT,2025-12,2026-08,9,9,active
RAYSOLUSDT,2024-12,2026-08,21,21,active
RAYUSDT,2021-08,2026-08,61,47,active
RDDTUSDT,2026-08,2026-08,1,1,active
RDNTUSDT,2023-04,2026-08,41,36,active
RECALLUSDT,2025-10,2026-08,11,11,active
REDUSDT,2025-03,2026-08,18,18,active
REEFUSDT,2021-02,2026-08,67,53,active
REIUSDT,2024-09,2026-08,24,16,active
RENDERUSDT,2024-07,2026-08,26,26,active
RENUSDT,2020-10,2026-08,71,57,active
RESOLVUSDT,2025-06,2026-08,15,15,active
REUSDT,2026-06,2026-08,3,3,active
REZUSDT,2024-04,2026-08,29,29,active
RIFUSDT,2023-10,2026-08,35,35,active
RIVERUSDT,2025-10,2026-08,11,11,active
RIVNUSDT,2026-06,2026-08,3,3,active
RKLBUSDT,2026-05,2026-08,4,4,active
RLCUSDT,2020-07,2026-08,74,74,active
RLSUSDT,2025-12,2026-08,9,5,active
RNDRUSDT,2023-02,2024-07,18,19,closed
ROBOUSDT,2026-02,2026-08,7,7,active
RONINUSDT,2024-02,2026-08,31,31,active
ROSEUSDT,2021-12,2026-08,57,57,active
RPLUSDT,2024-09,2026-08,24,24,active
RSRUSDT,2020-10,2026-08,71,71,active
RUNEUSDT,2020-09,2026-08,72,72,active
RVNUSDT,2021-02,2026-08,67,67,active
RVVUSDT,2025-10,2026-08,11,5,active
SAFEUSDT,2024-10,2026-08,23,23,active
SAGAUSDT,2024-04,2026-08,29,29,active
SAHARAUSDT,2025-06,2026-08,15,15,active
SAMSUNGEMUSDT,2026-08,2026-08,1,1,active
SAMSUNGUSDT,2026-06,2026-08,3,3,active
SANDUSDT,2021-01,2026-08,68,68,active
SANTOSUSDT,2024-10,2026-08,23,23,active
SAPIENUSDT,2025-08,2026-08,13,13,active
SCRTUSDT,2024-11,2026-08,22,22,active
SCRUSDT,2024-10,2026-08,23,23,active
SCUSDT,2021-04,2026-08,65,51,active
SEIUSDT,2023-08,2026-08,37,37,active
SENTUSDT,2025-11,2026-08,10,10,active
SFPUSDT,2021-02,2026-08,67,67,active
SHAZUSDT,2026-07,2026-08,2,2,active
SHELLUSDT,2025-02,2026-08,19,19,active
SHOPUSDT,2026-08,2026-08,1,1,active
SIGNUSDT,2025-04,2026-08,17,17,active
SIRENUSDT,2025-03,2026-08,18,18,active
SKATEUSDT,2025-06,2026-08,15,7,active
SKDDUSDT,2026-08,2026-08,1,1,active
SKHYNIXUSDT,2026-06,2026-08,3,3,active
SKHYUSDT,2026-07,2026-08,2,2,active
SKLUSDT,2020-12,2026-08,69,69,active
SKRUSDT,2026-01,2026-08,8,8,active
SKUUUSDT,2026-08,2026-08,1,1,active
SKYAIUSDT,2025-05,2026-08,16,16,active
SKYUSDT,2025-09,2026-08,12,12,active
SLERFUSDT,2024-11,2026-08,22,12,active
SLPUSDT,2023-10,2026-08,35,35,active
SLXUSDT,2026-06,2026-08,3,3,active
SMCIUSDT,2026-06,2026-08,3,3,active
SMHUSDT,2026-07,2026-08,2,2,active
SNDKUSDT,2026-04,2026-08,5,5,active
SNOWUSDT,2026-07,2026-08,2,2,active
SNTUSDT,2023-11,2026-08,34,20,active
SNXUSDT,2020-08,2026-08,73,73,active
SNXXUSDT,2026-07,2026-08,2,2,active
SOFIUSDT,2026-07,2026-08,2,2,active
SOLUSDT,2020-09,2026-08,72,72,active
SOLVUSDT,2025-01,2026-08,20,20,active
SOMIUSDT,2025-08,2026-08,13,13,active
SONICUSDT,2025-01,2026-08,20,20,active
SONYUSDT,2026-06,2026-08,3,3,active
SOONUSDT,2025-05,2026-08,16,16,active
SOPHUSDT,2025-05,2026-08,16,16,active
SOXLUSDT,2026-05,2026-08,4,4,active
SOXSUSDT,2026-07,2026-08,2,2,active
SPACEUSDT,2026-01,2026-08,8,8,active
SPCXUSDT,2026-05,2026-08,4,4,active
SPELLUSDT,2022-09,2026-08,48,48,active
SPKUSDT,2025-06,2026-08,15,15,active
SPORTFUNUSDT,2026-01,2026-08,8,8,active
SPXUSDT,2024-12,2026-08,21,21,active
SPYUSDT,2026-04,2026-08,5,5,active
SQDUSDT,2025-06,2026-08,15,15,active
SQQQUSDT,2026-06,2026-08,3,3,active
SRMUSDT,2020-09,2024-05,45,47,closed
SSVUSDT,2023-02,2026-08,43,43,active
STABLEUSDT,2025-11,2026-08,10,10,active
STARUSDT,2026-05,2026-08,4,4,active
STBLUSDT,2025-09,2026-08,12,12,active
STEEMUSDT,2023-11,2026-08,34,34,active
STGUSDT,2022-08,2026-08,49,49,active
STMXUSDT,2021-03,2026-08,66,52,active
STORJUSDT,2020-09,2026-08,72,72,active
STOUSDT,2025-04,2026-08,17,17,active
STPTUSDT,2023-10,2026-08,35,21,active
STRAXUSDT,2023-10,2026-08,35,21,active
STRCUSDT,2026-07,2026-08,2,2,active
STRKUSDT,2024-02,2026-08,31,31,active
STXUSDT,2023-02,2026-08,43,43,active
STXXUSDT,2026-06,2026-08,3,3,active
SUIUSDT,2023-05,2026-08,40,40,active
SUNUSDT,2024-08,2026-08,25,25,active
SUPERUSDT,2023-11,2026-08,34,34,active
SUSDT,2025-01,2026-08,20,20,active
SUSHIUSDT,2020-09,2026-08,72,72,active
SWARMSUSDT,2025-01,2026-08,20,20,active
SWELLUSDT,2024-11,2026-08,22,13,active
SXPUSDT,2020-07,2026-05,71,66,closed
SXTUSDT,2025-05,2026-08,16,16,active
SYNUSDT,2024-08,2026-08,25,25,active
SYRUPUSDT,2025-05,2026-08,16,16,active
SYSUSDT,2024-08,2026-08,25,22,active
TACUSDT,2025-07,2026-08,14,14,active
TAGUSDT,2025-07,2026-08,14,14,active
TAIKOUSDT,2025-06,2026-08,15,15,active
TAKEUSDT,2025-09,2026-08,12,12,active
TANSSIUSDT,2025-07,2026-08,14,7,active
TAOUSDT,2024-04,2026-08,29,29,active
TAUSDT,2025-07,2026-08,14,14,active
TBTUSDT,2026-07,2026-08,2,2,active
TEMUSDT,2026-08,2026-08,1,1,active
TENCENTUSDT,2026-07,2026-08,2,2,active
TERUSDT,2026-07,2026-08,2,2,active
THETAUSDT,2020-05,2026-08,76,76,active
THEUSDT,2024-11,2026-08,22,22,active
TIAUSDT,2023-10,2026-08,35,35,active
TLMUSDT,2021-07,2026-08,62,42,active
TMFUSDT,2026-07,2026-08,2,2,active
TNSRUSDT,2024-04,2026-08,29,29,active
TOKENUSDT,2023-11,2026-08,34,26,active
TOMOUSDT,2020-10,2024-05,44,47,closed
TONUSDT,2024-03,2026-08,30,28,active
TOSHIUSDT,2025-09,2026-08,12,12,active
TOWNSUSDT,2025-08,2026-08,13,13,active
TQQQUSDT,2026-06,2026-08,3,3,active
TRADOORUSDT,2025-09,2026-08,12,12,active
TRBUSDT,2020-09,2026-08,72,72,active
TREEUSDT,2025-07,2026-08,14,14,active
TRIAUSDT,2026-02,2026-08,7,7,active
TROYUSDT,2024-10,2026-08,23,9,active
TRUMPUSDT,2025-01,2026-08,20,20,active
TRUSTUSDT,2025-11,2026-08,10,10,active
TRUTHUSDT,2025-10,2026-08,11,11,active
TRUUSDT,2023-03,2026-08,42,38,active
TRXUSDT,2020-01,2026-08,80,80,active
TSLAUSDT,2026-01,2026-08,8,8,active
TSMUSDT,2026-04,2026-08,5,5,active
TSTUSDT,2025-02,2026-08,19,19,active
TTWOUSDT,2026-07,2026-08,2,2,active
TURBOUSDT,2024-05,2026-08,28,28,active
TURTLEUSDT,2025-10,2026-08,11,11,active
TUSDT,2023-02,2026-08,43,43,active
TUTUSDT,2025-03,2026-08,18,18,active
TWTUSDT,2023-11,2026-08,34,34,active
TXNUSDT,2026-07,2026-08,2,2,active
TZAUSDT,2026-07,2026-08,2,2,active
UAIUSDT,2025-11,2026-08,10,10,active
UBERUSDT,2026-05,2026-08,4,4,active
UBUSDT,2025-09,2026-08,12,12,active
UMAUSDT,2023-05,2026-08,40,40,active
UNFIUSDT,2021-02,2026-08,67,53,active
UNITREEUSDT,2026-08,2026-08,1,1,active
UNIUSDT,2020-09,2026-08,72,72,active
URNMUSDT,2026-06,2026-08,3,3,active
USARUSDT,2026-05,2026-08,4,4,active
USDCUSDT,2023-03,2026-08,42,42,active
USELESSUSDT,2025-08,2026-08,13,13,active
USTCUSDT,2023-11,2026-08,34,34,active
USUALUSDT,2024-12,2026-08,21,21,active
USUSDT,2025-12,2026-08,9,9,active
UVXYUSDT,2026-06,2026-08,3,3,active
UXLINKUSDT,2024-09,2026-08,24,13,active
VANAUSDT,2024-12,2026-08,21,21,active
VANRYUSDT,2024-03,2026-08,30,30,active
VELODROMEUSDT,2024-12,2026-08,21,21,active
VELVETUSDT,2025-07,2026-08,14,14,active
VETUSDT,2020-02,2026-08,79,79,active
VFYUSDT,2025-09,2026-08,12,7,active
VICUSDT,2025-03,2026-08,18,18,active
VIDTUSDT,2024-08,2026-08,25,11,active
VINEUSDT,2025-01,2026-08,20,16,active
VIRTUALUSDT,2024-12,2026-08,21,21,active
VOXELUSDT,2024-08,2026-08,25,17,active
VRTUSDT,2026-07,2026-08,2,2,active
VSTUSDT,2026-08,2026-08,1,1,active
VTHOUSDT,2025-01,2026-08,20,20,active
VUSDT,2026-05,2026-08,4,4,active
VVVUSDT,2025-01,2026-08,20,20,active
WALUSDT,2025-03,2026-08,18,18,active
WAVESUSDT,2020-08,2026-08,73,59,active
WAXPUSDT,2023-10,2026-08,35,35,active
WCTUSDT,2025-04,2026-08,17,17,active
WDCUSDT,2026-05,2026-08,4,4,active
WENUSDT,2026-07,2026-08,2,2,active
WETUSDT,2025-12,2026-08,9,9,active
WIFUSDT,2024-01,2026-08,32,32,active
WLDUSDT,2023-07,2026-08,38,38,active
WLFIUSDT,2025-08,2026-08,13,13,active
WMTUSDT,2026-05,2026-08,4,4,active
WOOUSDT,2022-04,2026-08,53,53,active
WUSDT,2024-04,2026-08,29,29,active
XAGUSDT,2026-01,2026-08,8,8,active
XAIUSDT,2024-01,2026-08,32,32,active
XANUSDT,2025-09,2026-08,12,12,active
XAUTUSDT,2026-03,2026-08,6,6,active
XAUUSDT,2025-12,2026-08,9,9,active
XBIUSDT,2026-07,2026-08,2,2,active
XCNUSDT,2025-04,2026-08,17,8,active
XEMUSDT,2021-03,2026-08,66,52,active
XLEUSDT,2026-06,2026-08,3,3,active
XLMUSDT,2020-01,2026-08,80,80,active
XMRUSDT,2020-02,2026-08,79,79,active
XNYUSDT,2025-08,2026-08,13,13,active
XPDUSDT,2026-01,2026-08,8,8,active
XPINUSDT,2025-09,2026-08,12,12,active
XPLUSDT,2025-08,2026-08,13,13,active
XPTUSDT,2026-01,2026-08,8,8,active
XRPUSDT,2020-01,2026-08,80,80,active
XTZUSDT,2020-02,2026-08,79,79,active
XVGUSDT,2023-07,2026-08,38,38,active
XVSUSDT,2023-04,2026-08,41,41,active
YALAUSDT,2025-08,2026-08,13,7,active
YBUSDT,2025-10,2026-08,11,11,active
YFIIUSDT,2020-09,2022-04,20,20,closed
YFIUSDT,2020-08,2026-08,73,73,active
YGGUSDT,2023-08,2026-08,37,37,active
ZAMAUSDT,2026-01,2026-08,8,8,active
ZBTUSDT,2025-10,2026-08,11,11,active
ZECUSDT,2020-02,2026-08,79,79,active
ZENUSDT,2020-11,2026-08,70,70,active
ZEREBROUSDT,2025-01,2026-08,20,20,active
ZESTUSDT,2026-06,2026-08,3,3,active
ZETAUSDT,2024-02,2026-08,31,31,active
ZHIPUUSDT,2026-07,2026-08,2,2,active
ZHONGJIUSDT,2026-08,2026-08,1,1,active
ZILUSDT,2020-06,2026-08,75,75,active
ZKCUSDT,2025-09,2026-08,12,12,active
ZKJUSDT,2025-05,2026-08,16,12,active
ZKPUSDT,2025-12,2026-08,9,9,active
ZKUSDT,2024-06,2026-08,27,27,active
ZMUSDT,2026-06,2026-08,3,3,active
ZORAUSDT,2025-07,2026-08,14,14,active
ZRCUSDT,2025-07,2026-08,14,7,active
ZROUSDT,2024-06,2026-08,27,27,active
ZRXUSDT,2020-06,2026-08,75,75,active
